a_id,b_id,type,evidence,first_seen_at
113,285,shared_ip,+55 61 4451-0126,2025-08-27T20:59:10.860483
8,202,shared_phone,+55 41 2600-6052,2025-08-05T06:24:56.887675
41,576,shared_phone,+55 (071) 7379 6609,2025-08-22T09:22:49.600230
31,37,shared_phone,(084) 1061 4672,2025-07-21T20:33:00.262327
385,181,shared_phone,(031) 7858-6544,2025-07-08T12:12:58.572193
264,199,shared_phone,84 5350-5636,2025-11-06T04:08:30.776686
547,498,shared_device,(061) 0110 0929,2025-11-08T02:22:01.678220
554,410,shared_device,41 9008-5781,2025-07-09T07:49:15.272590
17,46,shared_ip,0300 273 8110,2025-07-12T18:14:14.591162
160,291,shared_device,+55 31 8230 3775,2025-09-23T03:17:22.336418
506,18,shared_phone,+55 (081) 2231 1825,2025-09-05T14:08:47.753242
256,175,shared_ip,71 2569 3568,2025-07-08T03:38:33.027062
551,284,shared_phone,31 6859 0718,2025-06-09T05:58:44.455114
275,58,shared_device,(051) 9900 1916,2025-09-04T06:21:19.793132
472,258,shared_ip,+55 (081) 0971-0640,2025-11-16T00:21:09.040642
140,194,shared_device,31 5651-9340,2025-06-19T19:25:50.492229
244,118,shared_ip,21 1270 7525,2025-10-02T17:06:14.542334
496,430,shared_ip,0300 623 1901,2025-10-10T14:49:56.359630
124,221,shared_device,(051) 7638-4202,2025-08-16T06:15:49.457646
382,181,shared_phone,+55 51 3030 0632,2025-08-16T09:34:17.938392
295,509,shared_device,+55 (011) 4361-5367,2025-08-27T10:53:18.403845
491,83,shared_ip,(041) 1446-3882,2025-11-03T22:34:33.638327
192,432,shared_device,0800-712-3890,2025-07-13T01:04:40.694999
516,444,shared_device,+55 31 3330 4716,2025-07-11T20:50:18.736671
375,490,shared_device,0500 068 2490,2025-10-31T07:12:05.677057
459,84,shared_phone,+55 61 8670 4938,2025-11-24T21:57:16.420259
89,62,shared_phone,+55 (081) 0346-5316,2025-07-31T19:36:58.471814
118,345,shared_device,0500-565-5907,2025-09-16T00:49:01.901667
284,592,shared_phone,61 5972-6018,2025-09-16T23:50:17.347297
129,49,shared_ip,0800-829-6527,2025-06-06T19:25:38.270233
141,369,shared_phone,31 7250-2908,2025-11-03T18:33:57.824636
15,512,shared_ip,+55 (031) 6914 7126,2025-06-27T21:08:29.260288
498,221,shared_device,51 6361 7838,2025-09-03T19:55:25.243284
3,190,shared_device,0800-984-9271,2025-06-07T10:40:49.541516
389,483,shared_ip,+55 11 4889-6350,2025-08-19T12:51:08.780023
549,142,shared_ip,61 3661 6768,2025-09-16T06:23:05.959419
177,191,shared_device,+55 (084) 4213-5052,2025-06-27T13:04:50.060055
358,329,shared_phone,+55 31 2469 4028,2025-08-04T05:56:27.268984
185,95,shared_ip,+55 84 4737 6528,2025-10-28T07:10:17.196481
484,594,shared_phone,(021) 9388 5263,2025-07-27T03:11:33.512028
449,167,shared_ip,41 0043-6907,2025-07-14T08:08:37.050288
339,406,shared_phone,+55 84 2361 5968,2025-08-12T14:22:54.484797
392,131,shared_phone,+55 (061) 4635 3724,2025-10-05T23:51:36.546095
101,333,shared_phone,11 0996 0675,2025-06-22T18:36:23.834972
531,214,shared_device,+55 81 7117-3951,2025-08-20T11:52:02.932916
432,74,shared_device,21 3398-2833,2025-07-13T22:33:43.998501
128,193,shared_ip,+55 81 3910-1050,2025-06-08T19:18:24.230574
404,165,shared_phone,(041) 9532 9337,2025-09-25T15:46:04.454773
467,154,shared_ip,0900 515 7362,2025-08-10T23:49:03.256797
54,345,shared_ip,+55 71 3628 1635,2025-10-19T00:16:21.476381
578,551,shared_ip,0900 800 1881,2025-11-14T10:13:57.654371
